T0350	STRUCTURAL
T0233	REFERENCE
T1683	REFERENCE
T8627	MIXED
T2281	REFERENCE
T7107	STRUCTURAL
T3191	STRUCTURAL
T3457	REFERENCE
T0458	STANCE
T4126	REFERENCE
T3486	MIXED
T4799	MIXED
T8211	REFERENCE
T3940	REFERENCE
T9608	REFERENCE
T5341	REFERENCE
T4249	STANCE
T8918	STRUCTURAL
T6865	STRUCTURAL
T2147	REFERENCE
T0997	REFERENCE
T5796	REFERENCE
T7506	REFERENCE
T9557	REFERENCE
T8466	REFERENCE
T6891	REFERENCE
T8219	STRUCTURAL
T2142	MIXED
T8713	REFERENCE
T2487	REFERENCE
T8577	REFERENCE
T8364	STRUCTURAL
T0306	REFERENCE
T7211	REFERENCE
T3000	REFERENCE
T9970	REFERENCE
T0064	REFERENCE
T2454	REFERENCE
T2823	REFERENCE
T2319	REFERENCE
T7757	MIXED
T1971	MIXED
T9117	STRUCTURAL
T1011	STRUCTURAL
T5340	REFERENCE
T8492	REFERENCE
T8695	REFERENCE
T9100	STRUCTURAL
T7905	MIXED
T1738	REFERENCE
T9179	REFERENCE
T0930	STANCE
T4071	REFERENCE
T3134	REFERENCE
T4537	REFERENCE
T0691	REFERENCE
T1601	STANCE
T8318	REFERENCE
T7408	REFERENCE
T9203	REFERENCE
T0456	REFERENCE
T1038	STRUCTURAL
T7262	REFERENCE
T5334	STRUCTURAL
T8282	REFERENCE
T9930	REFERENCE
T8391	REFERENCE
T3267	STRUCTURAL
T4541	REFERENCE
T7411	REFERENCE
T8325	STRUCTURAL
T8737	REFERENCE
T7832	STRUCTURAL
T8319	REFERENCE
T4057	REFERENCE
T8572	REFERENCE
T4253	REFERENCE
T9167	STANCE
T3319	REFERENCE
T7332	STRUCTURAL
T2246	REFERENCE
T6826	REFERENCE
T1992	REFERENCE
T6428	REFERENCE
T7243	REFERENCE
T5177	REFERENCE
T1188	REFERENCE
T3942	REFERENCE
T7017	STRUCTURAL
T1198	REFERENCE
T3484	REFERENCE
T4960	REFERENCE
T2004	REFERENCE
T2530	REFERENCE
T5999	REFERENCE
T2342	REFERENCE
T4146	REFERENCE
T2248	REFERENCE
T7663	STANCE
T3597	REFERENCE
T1542	REFERENCE
T6525	REFERENCE
T7983	REFERENCE
T2667	REFERENCE
T3665	REFERENCE
T2645	STRUCTURAL
T7070	REFERENCE
T8447	REFERENCE
T6616	STRUCTURAL
T5556	STRUCTURAL
T6902	REFERENCE
T3207	STANCE
T5842	REFERENCE
T5218	REFERENCE
T1510	MIXED
T5995	STRUCTURAL
T0319	REFERENCE
T5537	STRUCTURAL
T9077	STANCE
T7514	REFERENCE
T7216	STRUCTURAL
T0296	STRUCTURAL
T6297	STRUCTURAL
T5431	STRUCTURAL
T8477	REFERENCE
T4840	STRUCTURAL
T8392	REFERENCE
T1053	STRUCTURAL
T1848	REFERENCE
T3744	STRUCTURAL
T1716	REFERENCE
T1377	REFERENCE
T4351	STANCE
T4455	MIXED
T0648	REFERENCE
T2974	REFERENCE
T4430	REFERENCE
T2122	REFERENCE
T6918	STANCE
T4237	REFERENCE
T6651	REFERENCE
T2447	MIXED
T8791	STANCE
T8434	REFERENCE
T9348	STRUCTURAL
T8103	STRUCTURAL
T5358	MIXED
T1465	REFERENCE
T4572	REFERENCE
T0942	REFERENCE
T3003	REFERENCE
T6968	MIXED
T1186	REFERENCE
T4406	REFERENCE
T0275	STRUCTURAL
T1451	REFERENCE
T4268	STRUCTURAL
T1372	REFERENCE
T9964	REFERENCE
T3643	REFERENCE
T1091	STRUCTURAL
T4332	STANCE
T1993	REFERENCE
T7434	STANCE
T0189	REFERENCE
T9061	STRUCTURAL
T6844	REFERENCE
T4388	REFERENCE
T2117	REFERENCE
T0707	REFERENCE
T8632	REFERENCE
T3906	REFERENCE
T1793	REFERENCE
T4290	REFERENCE
T0825	STRUCTURAL
T2967	STRUCTURAL
T3305	STRUCTURAL
T5111	REFERENCE
T4997	STRUCTURAL
T8701	REFERENCE
T3372	STRUCTURAL
T4750	REFERENCE
T7302	REFERENCE
T8193	STANCE
T2914	STRUCTURAL
T4432	REFERENCE
T5685	STANCE
T0297	MIXED
T4103	REFERENCE
T0605	REFERENCE
T0251	REFERENCE
T0302	REFERENCE
T8284	REFERENCE
T9028	REFERENCE
T3104	REFERENCE
T8425	MIXED
T7778	REFERENCE
T4025	REFERENCE
T7324	REFERENCE
T1741	REFERENCE
T7080	MIXED
T8110	MIXED
T8944	REFERENCE
T6440	REFERENCE
T8301	REFERENCE
T5042	STANCE
T3525	REFERENCE
T3761	STRUCTURAL
T5614	STRUCTURAL
T3254	STANCE
T2289	REFERENCE
T6630	STRUCTURAL
T5694	STRUCTURAL
T0891	REFERENCE
T2126	REFERENCE
T1158	REFERENCE
T4187	STRUCTURAL
T7057	REFERENCE
T2674	STANCE
T0907	REFERENCE
T1384	REFERENCE
T6240	REFERENCE
T8289	STRUCTURAL
T4619	REFERENCE
T9810	REFERENCE
T3968	MIXED
T4801	REFERENCE
T0741	REFERENCE
T7527	STRUCTURAL
T3036	MIXED
T2581	REFERENCE
T4407	REFERENCE
T7304	REFERENCE
T0059	STRUCTURAL
T4312	MIXED
T5966	REFERENCE
T5389	STRUCTURAL
T8963	REFERENCE
T5300	REFERENCE
T4005	REFERENCE
T0564	REFERENCE
T5071	REFERENCE
T3569	STRUCTURAL
T2997	REFERENCE
T0017	STRUCTURAL
T5494	STRUCTURAL
T6252	MIXED
T1374	REFERENCE
T7776	MIXED
T4569	REFERENCE
T8237	REFERENCE
T3292	MIXED
T4066	STRUCTURAL
T8269	MIXED
T0081	MIXED
T1488	REFERENCE
T4328	REFERENCE
T1470	REFERENCE
T2357	STRUCTURAL
T6545	MIXED
T9614	REFERENCE
T0682	MIXED
T6454	STANCE
T0368	REFERENCE
T4909	MIXED
T4984	REFERENCE
T3814	REFERENCE
T9594	REFERENCE
T8670	STRUCTURAL
T2543	REFERENCE
T9774	STANCE
T6381	MIXED
T5343	REFERENCE
T8096	REFERENCE
T2448	STANCE
T4655	REFERENCE
T2371	REFERENCE
T0717	STANCE
T8404	REFERENCE
T7032	STRUCTURAL
T2282	STRUCTURAL
T8581	REFERENCE
T8263	REFERENCE
T9313	STANCE
T0263	MIXED
T9569	STRUCTURAL
T3767	MIXED
T1394	REFERENCE
T0510	REFERENCE
T0685	REFERENCE
T2180	REFERENCE
T5909	REFERENCE
T1718	REFERENCE
T6170	STRUCTURAL
T7395	REFERENCE
T9150	REFERENCE
T0831	REFERENCE
T0308	REFERENCE
T8707	REFERENCE
T4006	STANCE
T8016	STRUCTURAL
T4321	STRUCTURAL
T0054	REFERENCE
T7486	STRUCTURAL
T1148	MIXED
T8240	REFERENCE
T8768	REFERENCE
T1506	STRUCTURAL
T8617	REFERENCE
T1082	REFERENCE
