T0350	0	2
T0233	2	8
T1683	0	15
T8627	8	6
T2281	0	11
T7107	0	0
T3191	1	6
T3457	2	12
T0458	6	2
T4126	7	8
T3486	7	6
T4799	8	8
T8211	0	11
T3940	3	11
T9608	1	7
T5341	0	6
T4249	8	6
T8918	0	0
T6865	0	2
T2147	2	16
T0997	0	10
T5796	0	19
T7506	0	18
T9557	0	12
T8466	1	6
T6891	1	9
T8219	3	3
T2142	4	4
T8713	0	18
T2487	2	7
T8577	1	3
T8364	0	0
T0306	4	13
T7211	0	7
T3000	3	5
T9970	1	10
T0064	2	6
T2454	0	11
T2823	0	9
T2319	3	13
T7757	3	1
T1971	4	8
T9117	0	2
T1011	1	0
T5340	0	14
T8492	5	8
T8695	0	13
T9100	0	3
T7905	6	8
T1738	3	12
T9179	4	11
T0930	12	5
T4071	9	7
T3134	0	19
T4537	2	12
T0691	3	12
T1601	6	3
T8318	1	7
T7408	1	11
T9203	2	4
T0456	3	7
T1038	0	0
T7262	1	11
T5334	0	0
T8282	0	8
T9930	0	6
T8391	0	9
T3267	0	0
T4541	1	11
T7411	1	5
T8325	0	0
T8737	2	10
T7832	1	1
T8319	3	11
T4057	1	17
T8572	0	10
T4253	0	11
T9167	11	5
T3319	0	8
T7332	3	2
T2246	4	11
T6826	1	10
T1992	0	12
T6428	1	12
T7243	0	14
T5177	2	11
T1188	5	11
T3942	3	7
T7017	0	2
T1198	0	9
T3484	0	14
T4960	4	6
T2004	3	11
T2530	0	10
T5999	0	9
T2342	1	3
T4146	2	14
T2248	0	11
T7663	6	6
T3597	4	14
T1542	0	11
T6525	1	14
T7983	0	10
T2667	1	10
T3665	0	14
T2645	0	0
T7070	0	10
T8447	0	10
T6616	0	1
T5556	0	0
T6902	0	13
T3207	9	5
T5842	3	10
T5218	0	13
T1510	10	4
T5995	0	2
T0319	0	14
T5537	4	2
T9077	6	7
T7514	1	8
T7216	0	0
T0296	1	1
T6297	0	0
T5431	2	5
T8477	1	8
T4840	0	4
T8392	0	16
T1053	0	0
T1848	1	11
T3744	0	2
T1716	4	5
T1377	3	10
T4351	7	5
T4455	2	8
T0648	1	17
T2974	0	12
T4430	2	13
T2122	0	15
T6918	3	6
T4237	1	10
T6651	0	5
T2447	2	4
T8791	8	9
T8434	1	11
T9348	0	0
T8103	0	2
T5358	4	3
T1465	0	8
T4572	1	11
T0942	0	6
T3003	0	10
T6968	9	9
T1186	1	12
T4406	0	16
T0275	0	4
T1451	0	10
T4268	1	3
T1372	0	18
T9964	0	10
T3643	1	10
T1091	1	2
T4332	12	2
T1993	0	13
T7434	3	3
T0189	0	13
T9061	0	1
T6844	0	10
T4388	0	7
T2117	5	10
T0707	3	13
T8632	1	3
T3906	0	14
T1793	0	19
T4290	5	13
T0825	0	0
T2967	0	3
T3305	0	0
T5111	0	8
T4997	1	3
T8701	0	5
T3372	0	0
T4750	0	18
T7302	0	15
T8193	4	4
T2914	0	0
T4432	0	11
T5685	5	4
T0297	4	3
T4103	0	7
T0605	0	12
T0251	0	10
T0302	0	7
T8284	1	9
T9028	2	6
T3104	0	11
T8425	2	2
T7778	1	10
T4025	0	12
T7324	2	11
T1741	3	7
T7080	5	3
T8110	7	4
T8944	0	19
T6440	6	9
T8301	0	17
T5042	5	2
T3525	4	10
T3761	0	0
T5614	0	3
T3254	6	1
T2289	0	15
T6630	1	5
T5694	2	4
T0891	2	6
T2126	0	19
T1158	0	12
T4187	2	0
T7057	0	10
T2674	9	3
T0907	4	9
T1384	0	9
T6240	0	15
T8289	1	2
T4619	0	7
T9810	4	10
T3968	2	8
T4801	1	13
T0741	0	11
T7527	0	0
T3036	8	9
T2581	1	7
T4407	0	3
T7304	0	18
T0059	0	1
T4312	5	6
T5966	0	7
T5389	0	0
T8963	1	4
T5300	2	10
T4005	0	10
T0564	1	9
T5071	1	8
T3569	0	0
T2997	2	10
T0017	0	1
T5494	0	4
T6252	5	4
T1374	0	7
T7776	4	5
T4569	0	13
T8237	0	12
T3292	8	10
T4066	0	0
T8269	7	9
T0081	5	10
T1488	4	4
T4328	0	11
T1470	4	12
T2357	0	0
T6545	3	3
T9614	2	12
T0682	8	5
T6454	3	4
T0368	0	14
T4909	6	6
T4984	0	19
T3814	6	12
T9594	0	19
T8670	2	0
T2543	0	15
T9774	2	4
T6381	7	7
T5343	2	11
T8096	0	13
T2448	8	6
T4655	5	8
T2371	0	14
T0717	4	5
T8404	0	8
T7032	0	1
T2282	0	1
T8581	2	13
T8263	1	7
T9313	5	4
T0263	7	5
T9569	0	3
T3767	5	9
T1394	0	17
T0510	0	3
T0685	0	17
T2180	0	18
T5909	3	5
T1718	0	14
T6170	0	2
T7395	0	11
T9150	0	19
T0831	0	14
T0308	2	3
T8707	4	10
T4006	11	3
T8016	2	0
T4321	0	0
T0054	3	10
T7486	0	0
T1148	4	10
T8240	1	10
T8768	1	4
T1506	1	2
T8617	0	9
T1082	3	9
