id,pair_id,condition,group,target,text,layer,sv_index_zero_based,activation_raw,activation_cos,activation_prev1,activation_next1,activation_next2,next_token_entropy_nats,next_token_top_probability,actual_next_surprisal_nats
colon_elab,colon1,positive,colon,:,There is one reason the experiment failed: the sensor was unplugged.,7,12,50.925514221191406,0.07260193675756454,38.830020904541016,49.13496398925781,33.019737243652344,4.083418846130371,0.31994038820266724,1.1396205425262451
colon_elab,colon1,positive,colon,:,There is one reason the experiment failed: the sensor was unplugged.,8,12,49.9171257019043,0.05735104903578758,50.54293441772461,61.63821792602539,43.727134704589844,4.083418846130371,0.31994038820266724,1.1396205425262451
colon_time,colon1,negative,colon,:,The meeting starts at 3:30 tomorrow afternoon.,7,12,35.24915313720703,0.06252909451723099,38.48822021484375,26.24714469909668,25.388826370239258,2.048475503921509,0.5401970744132996,1.8033212423324585
colon_time,colon1,negative,colon,:,The meeting starts at 3:30 tomorrow afternoon.,8,12,29.088844299316406,0.03880595043301582,44.016845703125,22.514907836914062,30.738365173339844,2.048475503921509,0.5401970744132996,1.8033212423324585
who_rel,who1,positive,who,who,"I spoke with Maya, who had already read the report.",7,12,67.89239501953125,0.0936315581202507,37.36323547363281,31.278432846069336,37.03860855102539,4.3973283767700195,0.18378421664237976,3.006493091583252
who_rel,who1,positive,who,who,"I spoke with Maya, who had already read the report.",8,12,80.32328033447266,0.0937500149011612,49.920509338378906,42.99705505371094,53.9484977722168,4.3973283767700195,0.18378421664237976,3.006493091583252
who_meta,who1,negative,who,who,The word who appears twice in the sentence.,7,12,63.72100830078125,0.09306720644235611,49.000762939453125,36.515201568603516,34.554351806640625,5.3385396003723145,0.19276687502861023,4.708773612976074
who_meta,who1,negative,who,who,The word who appears twice in the sentence.,8,12,68.3577880859375,0.08151862770318985,58.613136291503906,42.86038589477539,47.56392288208008,5.3385396003723145,0.19276687502861023,4.708773612976074
where_rel,where1,positive,where,where,"We returned to the cabin, where the supplies had been stored.",7,12,62.02607727050781,0.08801582455635071,31.422311782836914,41.54145431518555,25.356164932250977,3.08362078666687,0.4212746024131775,1.739470362663269
where_rel,where1,positive,where,where,"We returned to the cabin, where the supplies had been stored.",8,12,78.71163177490234,0.09095362573862076,41.03977584838867,53.52722930908203,33.230796813964844,3.08362078666687,0.4212746024131775,1.739470362663269
