id,lexical_key,family,tier,role,target,text,occurrence,layer,sv_index_zero_based,target_token_index,target_position_fraction,sequence_length,target_token_decoded,activation_raw,activation_cos,hidden_norm,activation_prev1,activation_next1,activation_next2,next_token_entropy_nats,next_token_top_probability,actual_next_surprisal_nats,actual_next_token
colon_pos_1,colon,colon,core,positive,:,There is one reason the experiment failed: the sensor was unplugged.,0,7,12,7,0.5384615384615384,14,:,50.925514221191406,0.07260193675756454,701.4346313476562,38.830020904541016,49.13496398925781,33.019737243652344,4.083418846130371,0.31994038820266724,1.1396205425262451, the
colon_pos_1,colon,colon,core,positive,:,There is one reason the experiment failed: the sensor was unplugged.,0,8,12,7,0.5384615384615384,14,:,49.9171257019043,0.05735104903578758,870.3786010742188,50.54293441772461,61.63821792602539,43.727134704589844,4.083418846130371,0.31994038820266724,1.1396205425262451, the
colon_pos_2,colon,colon,core,positive,:,The central problem is simple: nobody checked the calibration.,0,7,12,5,0.5,11,:,60.660980224609375,0.08307603746652603,730.186279296875,17.740936279296875,50.20819854736328,29.98530387878418,3.3211238384246826,0.2898067831993103,11.582290649414062, nobody
colon_pos_2,colon,colon,core,positive,:,The central problem is simple: nobody checked the calibration.,0,8,12,5,0.5,11,:,63.10063934326172,0.07128852605819702,885.1444091796875,42.576595306396484,63.75883865356445,47.513912200927734,3.3211238384246826,0.2898067831993103,11.582290649414062, nobody
colon_pos_3,colon,colon,core,positive,:,She gave us one warning: the road would close before sunset.,0,7,12,5,0.4166666666666667,13,:,63.889183044433594,0.09244446456432343,691.1088256835938,26.55219841003418,53.09942626953125,30.69530487060547,5.188255786895752,0.12855187058448792,3.1764228343963623, the
colon_pos_3,colon,colon,core,positive,:,She gave us one warning: the road would close before sunset.,0,8,12,5,0.4166666666666667,13,:,68.39786529541016,0.07711303234100342,886.98193359375,31.450231552124023,67.12496948242188,37.48475646972656,5.188255786895752,0.12855187058448792,3.1764228343963623, the
colon_pos_4,colon,colon,core,positive,:,The report reached a surprising conclusion: the smaller model was more reliable.,0,7,12,6,0.46153846153846156,14,:,64.9435806274414,0.09147137403488159,709.988037109375,23.110877990722656,47.46826171875,22.037572860717773,4.924277305603027,0.26601630449295044,1.3241976499557495, the
colon_pos_4,colon,colon,core,positive,:,The report reached a surprising conclusion: the smaller model was more reliable.,0,8,12,6,0.46153846153846156,14,:,69.87760925292969,0.0815872997045517,856.4765625,30.499448776245117,59.09401321411133,37.64870834350586,4.924277305603027,0.26601630449295044,1.3241976499557495, the
colon_neg_1,colon,colon,core,negative,:,The meeting starts at 3:30 tomorrow afternoon.,0,7,12,6,0.6,11,:,35.24915313720703,0.06252909451723099,563.7240600585938,38.48822021484375,26.24714469909668,25.388826370239258,2.048475503921509,0.5401970744132996,1.8033212423324585,30
colon_neg_1,colon,colon,core,negative,:,The meeting starts at 3:30 tomorrow afternoon.,0,8,12,6,0.6,11,:,29.088844299316406,0.03880595043301582,749.5975341796875,44.016845703125,22.514907836914062,30.738365173339844,2.048475503921509,0.5401970744132996,1.8033212423324585,30
colon_neg_2,colon,colon,core,negative,:,The final score was 4:2 after extra time.,0,7,12,6,0.5454545454545454,12,:,41.21708679199219,0.06439823657274246,640.034423828125,31.29547119140625,13.053391456604004,35.09487533569336,2.1181905269622803,0.21558444201946259,1.53440260887146,2
colon_neg_2,colon,colon,core,negative,:,The final score was 4:2 after extra time.,0,8,12,6,0.5454545454545454,12,:,35.03725051879883,0.03797363117337227,922.6731567382812,38.31730270385742,11.385322570800781,56.51508712768555,2.1181905269622803,0.21558444201946259,1.53440260887146,2
colon_neg_3,colon,colon,core,negative,:,The ratio of red to blue pieces is 3:5.,0,7,12,10,0.8333333333333334,13,:,31.36676788330078,0.04322854056954384,725.6032104492188,29.26614761352539,18.189464569091797,27.032697677612305,1.8433339595794678,0.32598525285720825,1.7459031343460083,5
colon_neg_3,colon,colon,core,negative,:,The ratio of red to blue pieces is 3:5.,0,8,12,10,0.8333333333333334,13,:,23.235572814941406,0.02443196065723896,951.0318603515625,35.97260284423828,25.04094886779785,22.68486976623535,1.8433339595794678,0.32598525285720825,1.7459031343460083,5
colon_neg_4,colon,colon,core,negative,:,The timestamp reads 12:45:08.,0,7,12,5,0.5555555555555556,10,:,36.042510986328125,0.053739916533231735,670.6841430664062,16.11557388305664,16.729883193969727,28.42685317993164,3.8269591331481934,0.16454991698265076,3.3045413494110107,45
colon_neg_4,colon,colon,core,negative,:,The timestamp reads 12:45:08.,0,8,12,5,0.5555555555555556,10,:,26.85306167602539,0.031028777360916138,865.4244384765625,26.957822799682617,15.689299583435059,15.015856742858887,3.8269591331481934,0.16454991698265076,3.3045413494110107,45
who_pos_1,who,relative,core,positive,who,"I spoke with Maya, who had already read the report.",0,7,12,5,0.45454545454545453,12, who,67.89239501953125,0.0936315581202507,725.1016235351562,37.36323547363281,31.278432846069336,37.03860855102539,4.3973283767700195,0.18378421664237976,3.006493091583252, had
who_pos_1,who,relative,core,positive,who,"I spoke with Maya, who had already read the report.",0,8,12,5,0.45454545454545453,12, who,80.32328033447266,0.0937500149011612,856.781494140625,49.920509338378906,42.99705505371094,53.9484977722168,4.3973283767700195,0.18378421664237976,3.006493091583252, had
who_neg_1,who,relative,core,negative,who,The editor underlined the word who in red.,0,7,12,6,0.6666666666666666,10, who,57.7091064453125,0.08524920791387558,676.9459838867188,50.53416061401367,23.10048484802246,18.183412551879883,4.461093425750732,0.12874798476696014,2.049898386001587, in
who_neg_1,who,relative,core,negative,who,The editor underlined the word who in red.,0,8,12,6,0.6666666666666666,10, who,57.63412857055664,0.0669897124171257,860.343017578125,62.518184661865234,36.72618865966797,27.667491912841797,4.461093425750732,0.12874798476696014,2.049898386001587, in
who_pos_2,who,relative,core,positive,who,The engineer who designed the device later explained the flaw.,0,7,12,2,0.2,11, who,66.05973815917969,0.09220907837152481,716.4125366210938,12.274643898010254,16.9377498626709,37.014991760253906,5.968016624450684,0.04898951202630997,3.3286490440368652, designed
who_pos_2,who,relative,core,positive,who,The engineer who designed the device later explained the flaw.,0,8,12,2,0.2,11, who,74.54361724853516,0.0895063504576683,832.8305053710938,16.59371566772461,31.084028244018555,45.266239166259766,5.968016624450684,0.04898951202630997,3.3286490440368652, designed
who_neg_2,who,relative,core,negative,who,They printed who on a separate line.,0,7,12,2,0.2857142857142857,8, who,55.4629020690918,0.08627268671989441,642.8790283203125,28.08847427368164,31.324966430664062,34.59811019897461,5.418462753295898,0.13660992681980133,7.428125381469727, on
who_neg_2,who,relative,core,negative,who,They printed who on a separate line.,0,8,12,2,0.2857142857142857,8, who,62.34080123901367,0.08064864575862885,772.9925537109375,39.2562141418457,40.600528717041016,44.98509979248047,5.418462753295898,0.13660992681980133,7.428125381469727, on
who_pos_3,who,relative,core,positive,who,"We hired Elena, who had worked on the original system.",0,7,12,4,0.36363636363636365,12, who,61.058170318603516,0.0884900912642479,690.0000610351562,38.98769760131836,26.1948184967041,35.88948440551758,4.44541597366333,0.16090159118175507,2.701962471008301, had
who_pos_3,who,relative,core,positive,who,"We hired Elena, who had worked on the original system.",0,8,12,4,0.36363636363636365,12, who,73.96812438964844,0.08739835023880005,846.3331909179688,48.34670639038086,37.44352340698242,48.4803466796875,4.44541597366333,0.16090159118175507,2.701962471008301, had
who_neg_3,who,relative,core,negative,who,The teacher asked the class to spell who.,0,7,12,7,0.875,9, who,62.30376434326172,0.09479578584432602,657.241943359375,50.82440948486328,33.71800231933594,,5.060587406158447,0.12093415856361389,4.112508773803711,.
who_neg_3,who,relative,core,negative,who,The teacher asked the class to spell who.,0,8,12,7,0.875,9, who,63.351280212402344,0.07208327949047089,878.8623657226562,62.128780364990234,32.91643524169922,,5.060587406158447,0.12093415856361389,4.112508773803711,.
who_pos_4,who,relative,core,positive,who,I met a researcher who studies language models.,0,7,12,4,0.5,9, who,66.08573913574219,0.09154665470123291,721.8804321289062,18.982202529907227,35.72795486450195,20.13302230834961,4.673527717590332,0.1768876314163208,4.857240676879883, studies
who_pos_4,who,relative,core,positive,who,I met a researcher who studies language models.,0,8,12,4,0.5,9, who,68.36334991455078,0.07832518965005875,872.8143920898438,30.66893196105957,56.92555236816406,34.67866516113281,4.673527717590332,0.1768876314163208,4.857240676879883, studies
who_neg_4,who,relative,core,negative,who,The search box already contained the word who.,0,7,12,7,0.875,9, who,61.49211883544922,0.09594754129648209,640.8931274414062,50.45199203491211,31.676664352416992,,4.726601600646973,0.1183299869298935,2.2592780590057373,.
